year,county_name,probation_pop,probation_budget_nominal,probation_budget_2024,cost_per_probationer_2024
2023,Solano,1955,34371037,36154603,18493
2024,Solano,1764,38255057,38848542,22023
2011,Sonoma,2963,16159084,22921825,7736
2012,Sonoma,2712,17285280,23904203,8814
2013,Sonoma,2529,22424726,30461949,12045
2014,Sonoma,2365,21911873,29321595,12398
2015,Sonoma,2147,27522803,36518854,17009
2016,Sonoma,2105,29910903,39404636,18720
2017,Sonoma,1955,34413189,44569761,22798
2018,Sonoma,1505,38828518,49173399,32673
2019,Sonoma,1282,39887089,49457472,38578
2020,Sonoma,1093,45297617,55336358,50628
2021,Sonoma,756,48009248,56944151,75323
2022,Sonoma,1136,47069905,52463158,46182
2023,Sonoma,1428,48486248,51002274,35716
2024,Sonoma,1332,52811042,53630347,40263
2011,Stanislaus,3719,10729977,15220581,4093
2012,Stanislaus,4482,10049265,13897355,3101
2013,Stanislaus,5109,12858010,17466436,3419
2014,Stanislaus,5334,17295555,23144222,4339
2015,Stanislaus,5745,18769416,24904352,4335
2016,Stanislaus,5968,20761800,27351604,4583
2017,Stanislaus,4447,37245416,48237880,10847
2018,Stanislaus,4281,42591867,53939398,12600
2019,Stanislaus,4063,46792492,58019736,14280
2020,Stanislaus,3581,47196575,57656158,16101
2021,Stanislaus,2739,46200393,54798654,20007
2022,Stanislaus,3421,48096642,53607538,15670
2023,Stanislaus,3725,54196013,57008327,15304
2024,Stanislaus,3611,61238553,62188602,17222
2011,Sutter,815,4415136,6262915,7685
2012,Sutter,759,4568529,6317922,8324
2013,Sutter,835,5158836,7007809,8393
2014,Sutter,865,5514785,7379665,8531
2015,Sutter,755,5474168,7263444,9620
2016,Sutter,727,5462854,7196766,9899
2017,Sutter,679,5712096,7397941,10895
2018,Sutter,682,6310967,7992365,11719
2019,Sutter,733,6684462,8288311,11307
2020,Sutter,642,6860691,8381140,13055
2021,Sutter,477,6334067,7512887,15750
2022,Sutter,497,7135634,7953232,16002
2023,Sutter,525,7127690,7497557,14281
2024,Sutter,511,7574121,7691625,15052
2011,Tehama,437,2482612,3521610,8059
2012,Tehama,495,2695022,3727007,7529
2013,Tehama,612,3383675,4596415,7510
2014,Tehama,739,4246476,5682465,7689
2015,Tehama,770,4903710,6506527,8450
2016,Tehama,918,5389438,7100048,7734
2017,Tehama,957,5507144,7132501,7453
2018,Tehama,986,5897718,7469017,7575
2019,Tehama,1061,5989974,7427190,7000
2020,Tehama,1083,5977846,7302641,6743
2021,Tehama,1095,5660946,6714493,6132
2022,Tehama,1098,6191758,6901207,6285
2023,Tehama,1120,8007563,8423088,7521
2024,Tehama,1154,7445482,7560990,6552
2011,Trinity,352,881836,1250893,3554
2012,Trinity,353,1041825,1440763,4081
2013,Trinity,199,1128500,1532965,7703
2014,Trinity,128,1162265,1555297,12151
2015,Trinity,94,1203704,1597144,16991
2016,Trinity,102,1435782,1891500,18544
2017,Trinity,76,1406813,1822014,23974
2018,Trinity,76,1405956,1780538,23428
2019,Trinity,76,1613484,2000618,26324
2020,Trinity,65,1748997,2136605,32871
2021,Trinity,48,2021746,2398009,49959
2022,Trinity,55,1962233,2187065,39765
2023,Trinity,34,1898310,1996816,58730
2024,Trinity,41,1982074,2012824,49093
2011,Tulare,5128,12168883,17261684,3366
2012,Tulare,4957,12079781,16705401,3370
2013,Tulare,5131,12292360,16698052,3254
2014,Tulare,4951,13841229,18521781,3741
2015,Tulare,3962,15689625,20817906,5254
2016,Tulare,3520,14218028,18730836,5321
2017,Tulare,3132,15613478,20221578,6456
2018,Tulare,3266,15541945,19682705,6027
2019,Tulare,2693,16192338,20077477,7455
2020,Tulare,2044,16344000,19966115,9768
2021,Tulare,1714,15641886,18552966,10824
2022,Tulare,1784,17931254,19985811,11203
2023,Tulare,1570,21670723,22795250,14519
2024,Tulare,1896,25232821,25624280,13515
2011,Tuolumne,1949,2859445,4056152,2081
2012,Tuolumne,1822,3465483,4792495,2630
2013,Tuolumne,1741,3870703,5257998,3020
2014,Tuolumne,1115,4257406,5697091,5109
2015,Tuolumne,702,4479396,5943523,8467
2016,Tuolumne,631,4527893,5965048,9453
2017,Tuolumne,594,4261431,5519133,9291
2018,Tuolumne,652,4151911,5258083,8065
2019,Tuolumne,729,4367844,5415851,7429
2020,Tuolumne,594,4505337,5503798,9266
2021,Tuolumne,591,4581398,5434033,9195
2022,Tuolumne,457,4714376,5254547,11498
2023,Tuolumne,473,5280484,5554496,11743
2024,Tuolumne,480,5822446,5912775,12318
2011,Ventura,15351,14839932,21050594,1371
2012,Ventura,13326,20774606,28729671,2156
2013,Ventura,11576,23419111,31812731,2748
2014,Ventura,10423,25481697,34098591,3271
2015,Ventura,9207,20311956,26951084,2927
2016,Ventura,8532,30147936,39716904,4655
2017,Ventura,8367,30787562,39874081,4766
2018,Ventura,9396,32531342,41198499,4385
2019,Ventura,8476,35182366,43623912,5147
2020,Ventura,7627,34553756,42211470,5534
2021,Ventura,5661,32817225,38924772,6876
2022,Ventura,5716,35339176,39388326,6891
2023,Ventura,5599,35103565,36925143,6595
2024,Ventura,5540,36964436,37537898,6776
2011,Yolo,2903,6218197,8820576,3038
2012,Yolo,2658,7884090,10903086,4102
2013,Yolo,2697,8630115,11723226,4347
2014,Yolo,2417,9717043,13002960,5380
2015,Yolo,2838,9909553,13148571,4633
2016,Yolo,2693,10268117,13527222,5023
2017,Yolo,2982,10158031,13156032,4412
2018,Yolo,2295,10368839,13131355,5722
2019,Yolo,1480,9309256,11542890,7799
2020,Yolo,1041,10493855,12819476,12315
2021,Yolo,520,10085675,11962699,23005
2022,Yolo,476,6622164,7380929,15506
2023,Yolo,460,4165347,4381493,9525
2024,Yolo,409,4779744,4853896,11868
2011,Yuba,803,5153816,7310740,9104
2012,Yuba,780,5617827,7769020,9960
2013,Yuba,733,5211889,7079877,9659
2014,Yuba,655,5316638,7114513,10862
2015,Yuba,188,5673289,7527650,40041
2016,Yuba,305,5858055,7717404,25303
2017,Yuba,421,6495254,8412237,19982
2018,Yuba,538,6508967,8243117,15322
2019,Yuba,514,6760132,8382137,16308
2020,Yuba,489,7458474,9111402,18633
2021,Yuba,493,7671354,9099054,18456
2022,Yuba,445,8031004,8951194,20115
2023,Yuba,522,9581821,10079036,19308
2024,Yuba,597,10048559,10204451,17093
